date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210211,AK,54134,,,,totalTestsViral,1577356,33.0,1227.0,,,6.0,,,A,2/11/2021 03:59,2021-02-11T03:59:00Z,02/10 22:59,280,1227.0,2021-02-11T03:59:00Z,1577356.0,65457.0,1510067.0,,,,,,,,,,,,,,,,2,143,0,54134,9353,54134,0,3,9bde9e7688ef2df020f5194474be7cce451af917,0,0,0,0,0,
20210211,AL,477570,102824.0,1836625.0,,totalTestsPeopleViral,2211371,1281.0,43906.0,,2588.0,,1465.0,264621.0,A,2/11/2021 11:00,2021-02-11T11:00:00Z,02/11 06:00,9021,43906.0,2021-02-11T11:00:00Z,,,,374746.0,7089.0,1932.0,,2211371.0,,,,111066.0,,,,,,,1,1503,5952,2314195,7097,2314195,133,221,243e7ec9a9859fad20d054cd855496c6af9e9a5f,0,0,0,0,0,
20210211,AR,311043,64454.0,2316686.0,,totalTestsViral,2563275,712.0,14255.0,256.0,,117.0,1471.0,292298.0,A+,2/11/2021 00:00,2021-02-11T00:00:00Z,02/10 19:00,5199,14255.0,2021-02-11T00:00:00Z,2563275.0,,2316686.0,246589.0,4165.0,1034.0,,,,,,,,,402977.0,75633.0,,,5,1103,10297,2627729,11021,2627729,25,44,43a63659cb0009325dbe62edbddf8d30e632f740,0,0,0,0,0,
20210211,AS,0,,2140.0,,totalTestsViral,2140,,,,,,,,,12/1/2020 00:00,2020-12-01T00:00:00Z,11/30 19:00,0,,2020-12-01T00:00:00Z,2140.0,,,0.0,,,,,,,,,,,,,,,60,0,0,2140,0,2140,0,0,f9af3096de9a7a18426442a07acd27ac851f35e6,0,0,0,0,0,
20210211,AZ,791106,52978.0,2855265.0,,totalTestsViral,7105696,2507.0,55272.0,719.0,,481.0,,110104.0,A+,2/11/2021 00:00,2021-02-11T00:00:00Z,02/10 19:00,14662,55272.0,2021-02-11T00:00:00Z,7105696.0,,,738128.0,12983.0,1679.0,,3593393.0,426189.0,,,,,,,,,,4,1861,13770,3646371,43920,3646371,200,184,edf01773882f81a0ff47a4fd11097f5b24b3b5d3,0,0,0,0,0,
20210211,CA,3371556,,,,totalTestsViral,44923981,11045.0,,2996.0,,,,,B,2/11/2021 02:59,2021-02-11T02:59:00Z,02/10 21:59,45456,,2021-02-11T02:59:00Z,44923981.0,,,3371556.0,,,,,,,,,,,,,,,6,8575,0,3371556,153380,3371556,461,0,f091a3e6af96760137eeda5aec9619ad326d506c,0,0,0,0,0,
20210211,CO,409683,21392.0,2090025.0,,totalTestEncountersViral,5756150,507.0,22655.0,,,,,21766.0,A,2/11/2021 01:59,2021-02-11T01:59:00Z,02/10 20:59,5781,22655.0,2021-02-11T01:59:00Z,,,,388291.0,5063.0,718.0,5756150.0,2478316.0,370986.0,49359.0,317419.0,,,,,,,,8,1722,13828,2499708,71519,2499708,11,39,830cfe65a9f868605d2c47ec257869a822f09d4d,0,0,0,0,0,
20210211,CT,266499,16368.0,5910201.0,,posNeg,6176700,731.0,12257.0,,,,,9800.0,B,2/10/2021 23:59,2021-02-10T23:59:00Z,02/10 18:59,7354,12257.0,2021-02-10T23:59:00Z,6160332.0,,,250131.0,6025.0,1329.0,,,,,,,,,,,294317.0,17255.0,9,1003,42354,6176700,43357,6176700,28,0,943ae7afd6cc6ef9937d74ad5f4085c9ad0f9e69,0,0,0,0,0,
20210211,DC,38533,,,,totalTestEncountersViral,1151484,225.0,,57.0,,32.0,,27398.0,A+,2/10/2021 00:00,2021-02-10T00:00:00Z,02/09 19:00,973,,2021-02-10T00:00:00Z,,,,,,,1151484.0,421753.0,,,,,,,,,,,11,185,0,38533,5212,38533,8,0,17678b54e1bc8b5ec53371c4cefae81cd79a370f,0,0,0,0,0,
20210211,DE,81875,4138.0,520461.0,,totalTestEncountersViral,1293220,253.0,,24.0,,,,,A,2/10/2021 18:00,2021-02-10T18:00:00Z,02/10 13:00,1262,,2021-02-10T18:00:00Z,,85297.0,,77737.0,1141.0,121.0,1293220.0,602336.0,,,,,,,,,,,10,414,1357,602336,3937,602336,17,0,297e1e1daaa62a18ba2b93c924f2e6b35e522b2f,0,0,0,0,0,
