date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,hospitalizedDischarged,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,dataQualityGrade,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20210227,AK,55989,,,,totalTestsViral,1679675,43.0,1277.0,,,5.0,,,2/26/2021 03:59,2021-02-26T03:59:00Z,02/25 22:59,290,1277.0,,2021-02-26T03:59:00Z,1679675.0,67580.0,1610023.0,,,,,,,,,,,,,,,,2,0,0,55989,0,55989,,0,0,22ba940bf484b87e67e142f5f1b88e1507f06ed4,0,0,0,0,0,
20210227,AL,492683,106647.0,1900915.0,,totalTestsPeopleViral,2286951,622.0,45428.0,,2650.0,,1508.0,285130.0,2/27/2021 11:00,2021-02-27T11:00:00Z,02/27 06:00,9930,45428.0,,2021-02-27T11:00:00Z,,,,386036.0,7787.0,2143.0,,2286951.0,,,,117249.0,,,,,,,1,834,4496,2393598,5303,2393598,,61,0,3efe5c4666aeaac9a86de39874ee778a7c46250d,0,0,0,0,0,
20210227,AR,319195,67169.0,2389866.0,,totalTestsViral,2641892,475.0,14763.0,172.0,,97.0,1520.0,309268.0,2/27/2021 00:00,2021-02-27T00:00:00Z,02/26 19:00,5417,14763.0,,2021-02-27T00:00:00Z,2641892.0,,2389866.0,252026.0,4357.0,1060.0,,,,,,,,,445973.0,78818.0,,,5,557,7238,2709061,7553,2709061,,10,16,1792f462818197dfd2a0137a246bf00f56997af2,0,0,0,0,0,
20210227,AS,0,,2140.0,,totalTestsViral,2140,,,,,,,,12/1/2020 00:00,2020-12-01T00:00:00Z,11/30 19:00,0,,,2020-12-01T00:00:00Z,2140.0,,,,,,,,,,,,,,,,,,60,0,0,2140,0,2140,,0,0,41630ed7561064a7f7fbd8c458f3299e0bb0d111,0,0,0,0,0,
20210227,AZ,815707,55028.0,2986896.0,,totalTestsViral,7623393,1317.0,57508.0,415.0,,220.0,,,2/27/2021 00:00,2021-02-27T00:00:00Z,02/26 19:00,15967,57508.0,116543.0,2021-02-27T00:00:00Z,7623393.0,,,760679.0,14091.0,1876.0,,3747575.0,438011.0,,,,,,,,,,4,1179,6455,3802603,26841,3802603,,70,48,03c3e3eabe7cf771386bd5ca83ff05bbef94db0d,0,0,0,0,0,
20210227,CA,3470877,,,,totalTestsViral,48219490,5897.0,,1651.0,,,,,2/27/2021 02:59,2021-02-27T02:59:00Z,02/26 21:59,51821,,,2021-02-27T02:59:00Z,48219490.0,,,3470877.0,,,,,,,,,,,,,,,6,5151,0,3470877,223914,3470877,,439,0,c79aae28d74b617e7cdecfe1a0e75623c959873e,0,0,0,0,0,
20210227,CO,427462,23529.0,2167955.0,,totalTestEncountersViral,6190522,393.0,23459.0,,,,,,2/27/2021 01:59,2021-02-27T01:59:00Z,02/26 20:59,5945,23459.0,22622.0,2021-02-27T01:59:00Z,,,,403933.0,5211.0,734.0,6190522.0,2571888.0,416650.0,58749.0,354803.0,,,,,,,,8,1264,5022,2595417,31219,2595417,,5,21,355c7478989da2e186b71f0c2ccf0d1aaad645a9,0,0,0,0,0,
20210227,CT,279946,18894.0,,,totalTestsViral,6299277,451.0,12257.0,,,,,,2/25/2021 23:59,2021-02-25T23:59:00Z,02/25 18:59,7622,12257.0,,2021-02-25T23:59:00Z,6299277.0,317614.0,5973606.0,261052.0,6254.0,1368.0,,,,,,,,,,,371931.0,21235.0,9,0,0,279946,0,279946,,0,0,ef06406c88a1cffdaba89081f323c51cf4315500,0,0,0,0,0,
20210227,DC,40478,,,,totalTestEncountersViral,1221563,171.0,,49.0,,26.0,,28842.0,2/26/2021 00:00,2021-02-26T00:00:00Z,02/25 19:00,1010,,,2021-02-26T00:00:00Z,,,,,,,1221563.0,434380.0,,,,,,,,,,,11,194,0,40478,6232,40478,,1,0,8dd1f8b6d4beb6fadf31428c91a25507bad298cd,0,0,0,0,0,
20210227,DE,86517,4565.0,537607.0,,totalTestEncountersViral,1387364,159.0,,22.0,,,,,2/26/2021 18:00,2021-02-26T18:00:00Z,02/26 13:00,1418,,,2021-02-26T18:00:00Z,,89959.0,,81952.0,1283.0,135.0,1387364.0,624124.0,,,,,,,,,,,10,419,1425,624124,9562,624124,,0,0,76fc3b122563952da8b9f6dfc3d5f46e88dd2406,0,0,0,0,0,
20210227,FL,1868769,349325.0,9162962.0,8421.0,totalTestEncountersViral,21684345,3728.0,80467.0,,,,,,2/26/2021 23:59,2021-02-26T23:59:00Z,02/26 18:59,31280,80467.0,,2021-02-26T23:59:00Z,18990710.0,2448448.0,16451917.0,1519444.0,,,21684345.0,11031731.0,1024780.0,176911.0,847365.0,970437.0,166506.0,803582.0,,,,,12,5316,25314,11040152,90722,11031731,,118,229,958bca6f49c2d2605c5b494ab178de49a6c2ead7,0,0,0,0,0,
20210227,GA,1004187,187214.0,,,totalTestsViral,7181994,2405.0,55963.0,,9115.0,,,,2/27/2021 14:50,2021-02-27T14:50:00Z,02/27 09:50,17294,55963.0,,2021-02-27T14:50:00Z,7181994.0,793286.0,,816973.0,15067.0,2227.0,,,475609.0,74913.0,,,,,,,,,13,3365,0,1004187,28470,1004187,,75,185,3b8599b2b2c4ed769ecc93f981ff8e9ac236cd29,0,0,0,0,0,
