,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-25,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-26,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-27,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-28,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-29,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-30,,,,0.0,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-31,,,,0.0,,0.2580645,,,,,,,,,,,,0.503937,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-01,,,,0.0,,0.1269841,,,,,,,,,,,,0.2509804,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-02,,,,0.0,,0.0629921,,,,,,,,,,,,0.1252446,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-03,,,,0.0,,0.5333333,,,,,,,,,,,,0.0625611,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-04,,,,0.0,,0.2661448,,,,,,,,,,,,0.0312653,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-05,,,,0.0,,0.1329423,,,,,,,,,,,,0.0156288,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-06,,,,0.0,,0.0664387,,,,,,,,,,,,0.0078135,,,,,,,,0.5019608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-07,,,,0.0,,0.0332112,,,,,,,,,,,,0.0039065,,,,,,,,0.2504892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-08,,,,0.0,,0.0166036,,,,,,,,,,,,0.0019532,,,,,,,,0.1251222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-09,,,,0.0,,0.0083013,,,,,,,,,,,,0.0009766,,,,,,,,0.0625305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-10,,,,0.0,,0.0041505,,,,,,,,,,,,0.0004883,,,,,,,,0.0312576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-11,,,,0.0,,0.0854098,,,,,,,,,,,,0.0002441,,,,,,,,0.0156269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-12,,,,0.0,,0.0427046,,,,,,,,,,,,0.0001221,,,,,,,,0.007813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-13,,,,0.0,,0.092781,,,,,,,,,,,,6.1e-05,,,,,,,,0.0039064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-14,,,,0.0,,0.0463904,,,,,,,,,,,,3.05e-05,,,,,,,,0.0019532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-15,,,,0.0,,0.0231952,,,,,,,,,,,,1.53e-05,,,,,,,,0.0009766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-16,,,,0.0,,0.0115976,,,,,,,,,,,,7.6e-06,,,,,,,,0.0004883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-17,,,,0.0,,0.0682988,,,,,,,,,,,,3.8e-06,,,,,,,,0.0002441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-18,,,,0.0,,0.089705,,,,,,,,,,,,1.9e-06,,,,,,,,0.0001221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-19,,,,0.0,,0.0448525,,,,,,,,,,,,1e-06,,,,,,,,6.1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-20,,,,0.0,,0.0224262,,,,,,,,,,,,5e-07,,,,,,,,3.05e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-21,,,,0.0,,0.0112131,,,,,,,,,,,,2e-07,,,,,,,,1.53e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-22,,,,0.0,,0.0056066,,,,,,,,,,,,1e-07,,,,,,,,7.6e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
