Country_Region,Confirmed,Deaths,Recovered,Active,Last_Update,Lat,Long
Afghanistan,55420,2419,48279,4722,2021-02-12 05:23:29,33.93911,67.709953
Albania,89776,1517,54362,33897,2021-02-12 05:23:29,41.1533,20.1683
Algeria,110049,2930,75436,31683,2021-02-12 05:23:29,28.0339,1.6596
Andorra,10391,106,9781,504,2021-02-12 05:23:29,42.5063,1.5218
Angola,20261,487,18710,1064,2021-02-12 05:23:29,-11.2027,17.8739
Antigua and Barbuda,381,9,197,175,2021-02-12 05:23:29,17.0608,-61.7964
Argentina,2008345,49874,1806260,152211,2021-02-12 05:23:29,-38.4161,-63.6167
Armenia,168676,3135,160670,4871,2021-02-12 05:23:29,40.0691,45.0382
Australia,28887,909,26112,1866,2021-02-12 05:23:29,-32.106275000000004,141.35548749999998
Austria,429139,8138,407155,13846,2021-02-12 05:23:29,47.5162,14.5501
Azerbaijan,231649,3170,226119,2360,2021-02-12 05:23:29,40.1431,47.5769
Bahamas,8311,178,6931,1202,2021-02-12 05:23:29,25.025885,-78.035889
Bahrain,110416,393,103251,6772,2021-02-12 05:23:29,26.0275,50.55
Bangladesh,539531,8248,485971,45312,2021-02-12 05:23:29,23.685,90.3563
Barbados,1904,20,1547,337,2021-02-12 05:23:29,13.1939,-59.5432
Belarus,263551,1820,252068,9663,2021-02-12 05:23:29,53.7098,27.9534
Belgium,733100,21551,0,711549,2021-02-12 05:23:29,50.71010909090909,4.555781818181819
Belize,12114,313,11605,196,2021-02-12 05:23:29,17.1899,-88.4976
Benin,4560,56,3772,732,2021-02-12 05:23:29,9.3077,2.3158
Bhutan,861,1,854,6,2021-02-12 05:23:29,27.5142,90.4336
Bolivia,233854,11044,174329,48481,2021-02-12 05:23:29,-16.2902,-63.5887
Bosnia and Herzegovina,125123,4868,102339,17916,2021-02-12 05:23:29,43.9159,17.6791
Botswana,24926,202,21214,3510,2021-02-12 05:23:29,-22.3285,24.6849
Brazil,9713909,236201,8637050,840658,2021-02-12 05:23:29,-12.669522222222222,-48.480492592592604
Brunei,183,3,175,5,2021-02-12 05:23:29,4.5353,114.7277
Bulgaria,228044,9561,195682,22801,2021-02-12 05:23:29,42.7339,25.4858
Burkina Faso,11426,134,10279,1013,2021-02-12 05:23:29,12.2383,-1.5616
Burma,141522,3184,128981,9357,2021-02-12 05:23:29,21.9162,95.956
Burundi,1771,3,773,995,2021-02-12 05:23:29,-3.3731,29.9189
Cabo Verde,14601,138,14084,379,2021-02-12 05:23:29,16.5388,-23.0418
Cambodia,479,0,463,16,2021-02-12 05:23:29,11.55,104.9167
Cameroon,31394,474,29501,1419,2021-02-12 05:23:29,3.8480000000000003,11.5021
