Country_Region,Confirmed,Deaths,Recovered,Active,Last_Update,Lat,Long
Afghanistan,158056,7356,0.0,150700.0,2021-12-31 04:21:50,33.93911,67.709953
Albania,208899,3212,0.0,205687.0,2021-12-31 04:21:50,41.1533,20.1683
Algeria,218037,6271,0.0,211766.0,2021-12-31 04:21:50,28.0339,1.6596
Andorra,23122,140,0.0,22982.0,2021-12-31 04:21:50,42.5063,1.5218
Angola,79871,1764,0.0,78107.0,2021-12-31 04:21:50,-11.2027,17.8739
Antigua and Barbuda,4283,119,0.0,4164.0,2021-12-31 04:21:50,17.0608,-61.7964
Argentina,5606745,117146,0.0,5489599.0,2021-12-31 04:21:50,-38.4161,-63.6167
Armenia,344826,7968,0.0,336858.0,2021-12-31 04:21:50,40.0691,45.0382
Australia,368596,2233,0.0,366363.0,2021-12-31 04:21:50,-32.106275000000004,141.3554875
Austria,1274995,13701,0.0,1261294.0,2021-12-31 04:21:50,47.5162,14.5501
Azerbaijan,616352,8346,0.0,608006.0,2021-12-31 04:21:50,40.1431,47.5769
Bahamas,24269,716,0.0,23553.0,2021-12-31 04:21:50,25.025885,-78.035889
Bahrain,281406,1394,0.0,280012.0,2021-12-31 04:21:50,26.0275,50.55
Bangladesh,1585027,28070,0.0,1556957.0,2021-12-31 04:21:50,23.685,90.3563
Barbados,28310,260,0.0,28050.0,2021-12-31 04:21:50,13.1939,-59.5432
Belarus,697600,5561,0.0,692039.0,2021-12-31 04:21:50,53.7098,27.9534
Belgium,2089657,28308,0.0,2061349.0,2021-12-31 04:21:50,50.71010909090909,4.555781818181818
Belize,32488,598,0.0,31890.0,2021-12-31 04:21:50,17.1899,-88.4976
Benin,24935,161,0.0,24774.0,2021-12-31 04:21:50,9.3077,2.3158
Bhutan,2660,3,0.0,2657.0,2021-12-31 04:21:50,27.5142,90.4336
Bolivia,591773,19650,0.0,572123.0,2021-12-31 04:21:50,-16.2902,-63.5887
Bosnia and Herzegovina,290471,13428,0.0,277043.0,2021-12-31 04:21:50,43.9159,17.6791
Botswana,219509,2444,0.0,217065.0,2021-12-31 04:21:50,-22.3285,24.6849
Brazil,22281649,619249,0.0,21662400.0,2021-12-31 04:21:50,-12.669522222222222,-48.48049259259259
Brunei,15470,98,0.0,15372.0,2021-12-31 04:21:50,4.5353,114.7277
Bulgaria,744298,30890,0.0,713408.0,2021-12-31 04:21:50,42.7339,25.4858
Burkina Faso,17632,318,0.0,17314.0,2021-12-31 04:21:50,12.2383,-1.5616
Burma,530645,19265,0.0,511380.0,2021-12-31 04:21:50,21.9162,95.956
Burundi,27366,38,0.0,27328.0,2021-12-31 04:21:50,-3.3731,29.9189
Cabo Verde,40738,352,0.0,40386.0,2021-12-31 04:21:50,16.5388,-23.0418
Cambodia,120487,3012,0.0,117475.0,2021-12-31 04:21:50,11.55,104.9167
Cameroon,109367,1851,0.0,107516.0,2021-12-31 04:21:50,3.848,11.5021
Canada,2145630,30328,0.0,2115302.0,2021-12-31 04:21:50,54.527353846153844,-92.50753076923077
Central African Republic,12163,101,0.0,12062.0,2021-12-31 04:21:50,6.6111,20.9394
Chad,5703,181,0.0,5522.0,2021-12-31 04:21:50,15.4542,18.7322
Chile,1804682,39096,0.0,1765586.0,2021-12-31 04:21:50,-34.36843125,-71.32456875
China,114794,4849,0.0,109945.0,2021-12-31 04:21:50,32.71591818181818,111.7097303030303
Colombia,5147039,129901,0.0,5017138.0,2021-12-31 04:21:50,5.349139393939394,-74.19079696969698
Comoros,6284,156,0.0,6128.0,2021-12-31 04:21:50,-11.6455,43.3333
Congo (Brazzaville),20089,367,0.0,19722.0,2021-12-31 04:21:50,-0.228,15.8277
Congo (Kinshasa),74793,1205,0.0,73588.0,2021-12-31 04:21:50,-4.0383,21.7587
Costa Rica,570556,7353,0.0,563203.0,2021-12-31 04:21:50,9.7489,-83.7534
Cote d'Ivoire,68146,712,0.0,67434.0,2021-12-31 04:21:50,7.54,-5.5471
Croatia,709678,12493,0.0,697185.0,2021-12-31 04:21:50,45.1,15.2
