Province_State,Confirmed,Deaths,Recovered,Active,Last_Update,Lat,Long
Alabama,477570,9021,0,468549,2021-02-12 05:23:29,32.88428035358209,-86.71012237686571
Alaska,56251,280,0,55971,2021-02-12 05:23:29,60.31731041928572,-148.47956602142858
Arizona,791106,14662,0,776444,2021-02-12 05:23:29,33.675903642,-111.46323212666667
Arkansas,311043,5199,0,305844,2021-02-12 05:23:29,34.911889390266666,-92.43397826839998
California,3459706,45869,0,3413837,2021-02-12 05:23:29,37.84396164603449,-120.72859416379308
Colorado,409683,5781,0,403902,2021-02-12 05:23:29,38.935474467656235,-105.48623995937497
Connecticut,266499,7354,0,259145,2021-02-12 05:23:29,41.61368014,-72.65682967875
Delaware,81875,1262,0,80613,2021-02-12 05:23:29,39.10927682333334,-75.53323745666665
Diamond Princess,49,0,0,49,2020-08-04 02:27:56,,
District of Columbia,38533,973,0,37560,2021-02-12 05:23:29,38.90417773,-77.01655992
Florida,1806805,28382,0,1778423,2021-02-12 05:23:29,28.94075487910448,-82.70074390925375
Georgia,955085,15513,0,939572,2021-02-12 05:23:29,32.80853214484278,-83.57742992610066
Grand Princess,103,3,0,100,2020-08-04 02:27:56,,
Guam,7686,130,0,7556,2021-02-12 05:23:29,13.4443,144.7937
Hawaii,26877,423,0,26454,2021-02-12 05:23:29,20.99064747,-157.41445579999998
Idaho,166876,1791,0,165085,2021-02-12 05:23:29,44.2634012584091,-114.46012491818179
Illinois,1155833,21985,0,1133848,2021-02-12 05:23:29,39.84361770127451,-89.17833006960784
Indiana,645006,12027,0,632979,2021-02-12 05:23:29,39.83735316565217,-86.21856844913039
Iowa,327432,5196,0,322236,2021-02-12 05:23:29,42.02991002353537,-93.46551942343434
Kansas,287276,4270,0,283006,2021-02-12 05:23:29,38.485378896857135,-98.08455153209523
Kentucky,384903,4211,0,380692,2021-02-12 05:23:29,37.62214385000001,-85.19989061799998
Louisiana,417415,9239,0,408176,2021-02-12 05:23:29,31.092427383437492,-91.82418665609377
Maine,42064,641,0,41423,2021-02-12 05:23:29,44.68768840625,-69.523768628125
Maryland,367865,7467,0,360398,2021-02-12 05:23:29,39.014920690416666,-76.67546760874998
Massachusetts,551396,15269,0,536127,2021-02-12 05:23:29,42.17639998153847,-71.57704993461539
Michigan,626477,16019,0,610458,2021-02-12 05:23:29,44.04362008975902,-85.18169553542172
Minnesota,470803,6411,0,464392,2021-02-12 05:23:29,45.55201297954022,-94.43095302689653
Mississippi,284664,6390,0,278274,2021-02-12 05:23:29,32.792726566585365,-89.64572580048781
Missouri,485252,7702,0,477550,2021-02-12 05:23:29,38.456764881637945,-92.4994868846552
Montana,96842,1320,0,95522,2021-02-12 05:23:29,46.97469113196428,-109.70039488214287
Nebraska,195006,1990,0,193016,2021-02-12 05:23:29,41.321794947204275,-99.03901222387097
Nevada,286387,4637,0,281750,2021-02-12 05:23:29,39.25599674470589,-117.5639935352941
New Hampshire,69612,1117,0,68495,2021-02-12 05:23:29,43.478972876,-71.57765670500001
New Jersey,736330,22329,0,714001,2021-02-12 05:23:29,40.286440910952386,-74.62244971476191
New Mexico,179323,3479,0,175844,2021-02-12 05:23:29,34.54935897878787,-105.88710740909092
New York,1514070,45453,0,1468617,2021-02-12 05:23:29,42.5441513332258,-75.47418330774194
North Carolina,810466,10294,0,800172,2021-02-12 05:23:29,35.62420971000002,-79.50109873960002
North Dakota,98353,1460,0,96893,2021-02-12 05:23:29,47.39350672792453,-100.2493934356604
Northern Mariana Islands,134,2,0,132,2021-02-12 05:23:29,15.0979,145.6739
Ohio,931437,12577,0,918860,2021-02-12 05:23:29,40.310669812954565,-82.83540800659091
Oklahoma,409401,3948,0,405453,2021-02-12 05:23:29,35.50191442597403,-97.2513995677922
Oregon,149082,2056,0,147026,2021-02-12 05:23:29,44.49240067472221,-121.47691959722222
Pennsylvania,887863,22835,0,865028,2021-02-12 05:23:29,40.81807835477611,-77.61531783850747
Puerto Rico,96636,1902,0,94734,2021-02-12 05:23:29,18.240118884615384,-66.40498556410255
Recovered,0,0,0,0,2021-02-12 05:23:29,,
Rhode Island,120381,2274,0,118107,2021-02-12 05:23:29,41.655142106,-71.464105098
South Carolina,476287,7837,0,468450,2021-02-12 05:23:29,33.957472131086966,-80.9833996921739
South Dakota,109859,1829,0,108030,2021-02-12 05:23:29,44.27269492727272,-99.31063618348485
Tennessee,752033,10812,0,741221,2021-02-12 05:23:29,35.88510221221052,-86.10872298863156
Texas,2543236,40535,0,2502701,2021-02-12 05:23:29,31.660643442283458,-98.65306860334638
Utah,358581,1774,0,356807,2021-02-12 05:23:29,40.014400114615384,-111.46087804615384
Vermont,13249,188,0,13061,2021-02-12 05:23:29,44.159495798571434,-72.68438070571429
Virgin Islands,2505,25,0,2480,2021-02-12 05:23:29,18.3358,-64.8963
Virginia,541018,6958,0,534060,2021-02-12 05:23:29,37.56615032526316,-78.51371173503755
Washington,326159,4633,0,321526,2021-02-12 05:23:29,47.23378642,-120.71922041538465
West Virginia,126420,2187,0,124233,2021-02-12 05:23:29,38.81425370672727,-80.6174545132727
Wisconsin,604683,6723,0,597960,2021-02-12 05:23:29,44.395143494861124,-89.79797998097222
Wyoming,52979,647,0,52332,2021-02-12 05:23:29,43.086885505217396,-107.15324220434782
