Province_State,Confirmed,Deaths,Recovered,Active,Last_Update,Lat,Long
Alabama,432536,6379,0,426157,2021-01-22 05:22:10,32.88428035358209,-86.71012237686571
Alaska,52605,254,0,52351,2021-01-22 05:22:10,60.31731041928572,-148.47956602142858
Arizona,699942,11772,0,688170,2021-01-22 05:22:10,33.675903642,-111.46323212666667
Arkansas,279220,4496,0,274724,2021-01-22 05:22:10,34.911889390266666,-92.43397826839998
California,3095814,35549,0,3060265,2021-01-22 05:22:10,37.84396164603449,-120.72859416379308
Colorado,381210,5440,0,375770,2021-01-22 05:22:10,38.935474467656235,-105.48623995937497
Connecticut,235796,6774,0,229022,2021-01-22 05:22:10,41.61368014,-72.65682967875
Delaware,72523,1027,0,71496,2021-01-22 05:22:10,39.10927682333334,-75.53323745666665
Diamond Princess,49,0,0,49,2020-08-04 02:27:56,,
District of Columbia,34612,864,0,33748,2021-01-22 05:22:10,38.90417773,-77.01655992
Florida,1613884,24739,0,1589145,2021-01-22 05:22:10,28.94075487910448,-82.70074390925375
Georgia,844799,12889,0,831910,2021-01-22 05:22:10,32.80853214484278,-83.57742992610066
Grand Princess,103,3,0,100,2020-08-04 02:27:56,,
Guam,7521,128,0,7393,2021-01-22 05:22:10,13.4443,144.7937
Hawaii,24949,327,0,24622,2021-01-22 05:22:10,20.99064747,-157.41445579999998
Idaho,158200,1654,0,156546,2021-01-22 05:22:10,44.2634012584091,-114.46012491818179
Illinois,1086333,20423,0,1065910,2021-01-22 05:22:10,39.84361770127451,-89.17833006960784
Indiana,601937,9593,0,592344,2021-01-22 05:22:10,39.83735316565217,-86.21856844913039
Iowa,310440,4445,0,305995,2021-01-22 05:22:10,42.02991002353537,-93.46551942343434
Kansas,265709,3565,0,262144,2021-01-22 05:22:10,38.485378896857135,-98.08455153209523
Kentucky,338033,3301,0,334732,2021-01-22 05:22:10,37.62214385000001,-85.19989061799998
Louisiana,378318,8442,0,369876,2021-01-22 05:22:10,31.092427383437492,-91.82418665609377
Maine,35638,536,0,35102,2021-01-22 05:22:10,44.68768840625,-69.523768628125
Maryland,334519,6735,0,327784,2021-01-22 05:22:10,39.014920690416666,-76.67546760874998
Massachusetts,486180,13906,0,472274,2021-01-22 05:22:10,42.17639998153847,-71.57704993461539
Michigan,592382,14933,0,577449,2021-01-22 05:22:10,44.04362008975902,-85.18169553542172
Minnesota,450762,6079,0,444683,2021-01-22 05:22:10,45.55201297954022,-94.43095302689653
Mississippi,259117,5668,0,253449,2021-01-22 05:22:10,32.792726566585365,-89.64572580048781
Missouri,455889,6710,0,449179,2021-01-22 05:22:10,38.456764881637945,-92.4994868846552
Montana,90649,1100,0,89549,2021-01-22 05:22:10,46.97469113196428,-109.70039488214287
Nebraska,185346,1868,0,183478,2021-01-22 05:22:10,41.321794947204275,-99.03901222387097
Nevada,266343,3910,0,262433,2021-01-22 05:22:10,39.25599674470589,-117.5639935352941
New Hampshire,60294,962,0,59332,2021-01-22 05:22:10,43.478972876,-71.57765670500001
New Jersey,646189,20760,0,625429,2021-01-22 05:22:10,40.286440910952386,-74.62244971476191
New Mexico,166823,3044,0,163779,2021-01-22 05:22:10,34.54935897878787,-105.88710740909092
New York,1293719,41787,0,1251932,2021-01-22 05:22:10,42.5441513332258,-75.47418330774194
North Carolina,698099,8339,0,689760,2021-01-22 05:22:10,35.62420971000002,-79.50109873960002
North Dakota,96369,1422,0,94947,2021-01-22 05:22:10,47.39350672792453,-100.2493934356604
Northern Mariana Islands,129,2,0,127,2021-01-22 05:22:10,15.0979,145.6739
Ohio,849704,10518,0,839186,2021-01-22 05:22:10,40.310669812954565,-82.83540800659091
Oklahoma,363046,3140,0,359906,2021-01-22 05:22:10,35.50191442597403,-97.2513995677922
Oregon,135973,1843,0,134130,2021-01-22 05:22:10,44.49240067472221,-121.47691959722222
Pennsylvania,793138,20063,0,773075,2021-01-22 05:22:10,40.81807835477611,-77.61531783850747
Puerto Rico,88728,1732,0,86996,2021-01-22 05:22:10,18.240118884615384,-66.40498556410255
Recovered,0,0,0,0,2021-01-22 05:22:10,,
Rhode Island,108786,2076,0,106710,2021-01-22 05:22:10,41.655142106,-71.464105098
South Carolina,404492,6373,0,398119,2021-01-22 05:22:10,33.957472131086966,-80.9833996921739
South Dakota,106400,1673,0,104727,2021-01-22 05:22:10,44.27269492727272,-99.31063618348485
Tennessee,697783,8684,0,689099,2021-01-22 05:22:10,35.88510221221052,-86.10872298863156
Texas,2208871,33942,0,2174929,2021-01-22 05:22:10,31.660643442283458,-98.65306860334638
Utah,330469,1547,0,328922,2021-01-22 05:22:10,40.014400114615384,-111.46087804615384
Vermont,10580,168,0,10412,2021-01-22 05:22:10,44.159495798571434,-72.68438070571429
Virgin Islands,2305,24,0,2281,2021-01-22 05:22:10,18.3358,-64.8963
Virginia,459604,5940,0,453664,2021-01-22 05:22:10,37.56615032526316,-78.51371173503755
Washington,296087,4065,0,292022,2021-01-22 05:22:10,47.23378642,-120.71922041538465
West Virginia,112617,1849,0,110768,2021-01-22 05:22:10,38.81425370672727,-80.6174545132727
Wisconsin,575688,6090,0,569598,2021-01-22 05:22:10,44.395143494861124,-89.79797998097222
Wyoming,50424,550,0,49874,2021-01-22 05:22:10,43.086885505217396,-107.15324220434782
